x,y,count
-190,44,1
-189,46,1
-188,42,1
-188,43,1
-182,44,2
-181,50,1
-180,50,1
-180,57,2
-174,59,1
-173,58,1
-167,59,2
-165,64,1
-164,64,1
-164,70,1
-164,71,1
-160,75,1
-159,74,1
-157,69,1
-156,62,1
-156,64,1
-156,71,1
-153,58,2
-149,61,1
-149,63,1
-149,70,1
-148,68,1
-147,74,1
-146,74,1
-142,72,1
-141,29,1
-141,73,1
-140,33,1
-140,81,3
-139,28,1
-139,84,3
-138,35,1
-138,67,2
-138,83,4
-136,83,1
-135,26,1
-135,66,3
-135,84,3
-134,35,1
-134,84,3
-133,4,3
-133,8,3
-133,27,1
-133,80,1
-133,81,3
-133,85,1
-133,88,3
-133,91,3
-133,93,1
-133,97,3
-133,100,1
-133,107,2
-133,112,1
-132,4,3
-132,37,1
-132,77,3
-132,80,3
-132,83,1
-132,86,3
-132,89,1
-132,92,3
-132,97,1
-132,98,3
-132,102,3
-132,104,4
-132,106,1
-132,108,3
-132,111,3
-131,9,3
-131,67,1
-131,76,1
-131,83,3
-130,10,3
-130,76,3
-130,106,3
-129,1,3
-129,75,4
-129,106,3
-128,26,1
-128,35,2
-128,76,3
-128,107,1
-127,11,3
-127,27,1
-127,74,3
-127,75,3
-126,3,3
-126,59,1
-126,66,1
-126,74,3
-126,75,9
-126,107,1
-125,-106,5
-125,-103,1
-125,-90,4
-125,-84,4
-125,-83,4
-125,-1,3
-125,1,3
-125,10,3
-125,39,1
-125,53,1
-125,73,3
-125,74,3
-125,88,1
-125,95,1
-125,96,3
-125,106,3
-124,-107,4
-124,-106,4
-124,-105,34
-124,-103,4
-124,-101,8
-124,-100,1
-124,-90,2
-124,-89,4
-124,-87,1
-124,-84,2
-124,-81,1
-124,38,1
-124,44,1
-124,45,1
-124,47,3
-124,49,3
-124,54,1
-124,86,3
-124,87,1
-124,90,116
-124,91,3
-124,92,3
-124,93,1
-124,107,3
-124,120,1
-123,-109,1
-123,-108,1
-123,-78,4
-123,-77,4
-123,-1,3
-123,50,1
-123,51,2
-123,82,1
-123,87,3
-123,97,3
-123,116,1
-122,-101,4
-122,-93,1
-122,-77,2
-122,-5,3
-122,25,1
-122,51,3
-122,83,3
-121,-100,1
-121,-92,1
-121,-4,3
-121,10,3
-121,82,1
-121,83,3
-121,98,1
-121,106,1
-120,-100,1
-120,-76,3
-120,26,1
-120,50,3
-120,98,3
-120,99,4
-120,106,3
-120,107,1
-120,123,1
-119,-108,3
-119,-101,4
-119,-93,1
-119,-92,5
-119,-77,1
-119,10,3
-119,52,1
-119,106,3
-118,-93,2
-118,-92,3
-118,-6,3
-118,35,1
-118,49,1
-118,51,1
-118,64,3
-118,70,3
-118,86,3
-118,101,3
-118,105,3
-117,-109,1
-117,-108,5
-117,-101,5
-117,-7,3
-117,11,3
-117,12,3
-117,15,1
-117,21,1
-117,27,3
-117,28,1
-117,51,1
-117,52,3
-117,58,3
-117,59,3
-117,61,1
