x,y,count
-170,-93,15
-170,-91,3
-169,-94,3
-166,-91,3
-165,-90,3
-164,-87,3
-163,-86,3
-160,-85,31
-158,-68,3
-158,-66,3
-157,-90,3
-157,-88,3
-157,-87,3
-156,-68,3
-156,-67,3
-156,-65,3
-156,-61,3
-155,-86,6
-155,-62,3
-153,-83,3
-153,-69,3
-152,-67,3
-151,-84,3
-151,-60,6
-150,-79,3
-150,-75,3
-150,-71,3
-149,-133,3
-149,-107,3
-149,-106,3
-149,-101,3
-149,-82,3
-149,-75,3
-149,-61,3
-148,-129,3
-148,-128,3
-148,-127,9
-148,-125,3
-148,-104,3
-148,-101,3
-148,-98,6
-148,-97,3
-148,-70,3
-147,-130,3
-147,-129,3
-147,-125,3
-147,-94,3
-147,-60,3
-146,-130,3
-146,-125,3
-146,-108,3
-146,-94,3
-146,-93,3
-145,-133,6
-145,-125,3
-145,-123,3
-145,-109,3
-144,-109,3
-144,-108,12
-143,-124,3
-142,-140,3
-142,-132,3
-142,-124,3
-142,-123,3
-142,-122,3
-142,-117,3
-142,-108,3
-142,-107,3
-142,-103,3
-142,-92,3
-142,-62,6
-141,-131,3
-141,-119,3
-141,-118,3
-141,-112,3
-141,-106,3
-141,-100,3
-141,-93,6
-141,-70,3
-141,-66,3
-141,29,1
-140,-142,3
-140,-132,3
-140,-119,3
-140,-116,4
-140,-113,3
-140,-110,3
-140,-108,6
-140,-100,6
-140,-72,3
-140,-66,3
-140,32,1
-139,-133,3
-139,-121,3
-139,-116,3
-139,-112,3
-139,-111,3
-139,-108,3
-139,-100,6
-139,-73,3
-139,27,1
-139,34,1
-138,-140,3
-138,-117,3
-138,-116,13
-138,-110,3
-138,-93,3
-137,-112,42
-137,-111,22
-137,-110,6
-137,-109,15
-137,-76,3
-136,-132,3
-136,-116,6
-136,-111,6
-136,-92,6
-136,-77,3
-136,27,1
-135,-131,3
-135,-112,3
-135,-111,6
-135,35,1
-134,-142,6
-134,-132,3
-134,-118,6
-134,-110,3
-134,-104,3
-133,-145,3
-133,-144,3
-133,-132,3
-133,-116,3
-133,-114,3
-133,-108,3
-133,-102,3
-133,-101,3
-133,-96,16
-133,-95,6
-133,-79,3
-133,27,1
-132,-146,3
-132,-112,3
-132,-106,3
-132,-99,3
-132,-80,3
-132,5,1
-132,7,1
-132,10,1
-132,35,1
-131,-100,6
-131,10,1
-131,11,1
-130,-142,3
-130,-141,3
-130,-133,3
-130,-84,6
-130,3,1
-130,10,1
-129,-131,3
-129,11,1
-129,27,1
-129,34,1
-128,-84,3
-128,11,4
-127,-132,6
-127,3,1
-127,35,1
-126,-130,6
-126,-124,3
-126,-117,3
-126,-91,3
-126,-87,3
-126,3,1
-126,12,1
-125,-155,3
-125,-142,3
-125,-124,3
-125,-118,3
-125,-87,3
-125,-1,1
-125,1,1
-125,12,1
-125,27,1
-125,38,1
-125,41,1
-125,45,1
-125,48,1
-124,-156,3
-124,-153,6
-124,-142,3
-124,-132,3
-124,-128,3
-124,-125,3
-124,-121,3
-124,-119,3
-124,-118,3
-124,-116,3
-124,-2,1
-123,-159,6
-123,-157,3
-123,-150,3
-123,-149,3
-123,-131,3
-123,-91,3
-123,-90,6
-123,-4,1
-123,12,1
-123,50,1
-123,52,2
-122,-158,3
-122,-91,12
-122,-90,18
-122,27,1
-121,-149,3
-121,-142,3
-121,-5,1
-121,52,1
-120,-149,3
-120,-147,3
-120,-5,1
-120,11,1
-120,50,1
-120,51,1
-119,-132,3
-119,-117,3
